manufacturer,permit_number,vin_number,total_disengagements,total_miles,month,miles,month_id,year,disengagements,cumsum_mile,cumsum_disengagements
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,Dec 2021,50.2,2021-12-01,2021,0.0,1727.5,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Jan 2022,0.0,2022-01-01,2022,0.0,1727.5,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Jan 2022,205.1,2022-01-01,2022,0.0,1932.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Jan 2022,0.0,2022-01-01,2022,0.0,1932.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,Jan 2022,33.5,2022-01-01,2022,0.0,1966.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Jan 2022,0.0,2022-01-01,2022,0.0,1966.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Jan 2022,0.0,2022-01-01,2022,0.0,1966.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,Jan 2022,51.1,2022-01-01,2022,0.0,2017.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Feb 2022,0.0,2022-02-01,2022,0.0,2017.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Feb 2022,45.4,2022-02-01,2022,0.0,2062.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Feb 2022,0.0,2022-02-01,2022,0.0,2062.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,Feb 2022,0.0,2022-02-01,2022,0.0,2062.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Feb 2022,0.0,2022-02-01,2022,0.0,2062.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Feb 2022,0.0,2022-02-01,2022,0.0,2062.6,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,Feb 2022,58.3,2022-02-01,2022,0.0,2120.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Mar 2022,126.4,2022-03-01,2022,0.0,2247.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Mar 2022,45.6,2022-03-01,2022,0.0,2292.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Mar 2022,0.0,2022-03-01,2022,0.0,2292.9,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,Mar 2022,34.2,2022-03-01,2022,0.0,2327.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Mar 2022,0.0,2022-03-01,2022,0.0,2327.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Mar 2022,0.0,2022-03-01,2022,0.0,2327.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,Mar 2022,100.9,2022-03-01,2022,0.0,2428.0,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Apr 2022,15.2,2022-04-01,2022,0.0,2443.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Apr 2022,61.5,2022-04-01,2022,0.0,2504.7,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Apr 2022,0.0,2022-04-01,2022,0.0,2504.7,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,Apr 2022,0.0,2022-04-01,2022,0.0,2504.7,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Apr 2022,0.0,2022-04-01,2022,0.0,2504.7,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Apr 2022,0.0,2022-04-01,2022,0.0,2504.7,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,1142.1,Apr 2022,79.9,2022-04-01,2022,0.0,2584.6,1.0
